username,repo_name,stars,repo_url
atom,atom,58800,https://github.com/atom/atom
themerdev,themer,5000,https://github.com/themerdev/themer
miniflux,v2,4300,https://github.com/miniflux/v2
nteract,hydrogen,3800,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3800,https://github.com/shd101wyy/markdown-preview-enhanced
atom,teletype,2400,https://github.com/atom/teletype
mmcdole,gofeed,2000,https://github.com/mmcdole/gofeed
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
kurtmckee,feedparser,1500,https://github.com/kurtmckee/feedparser
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1500,https://github.com/simplepie/simplepie
ocaml,merlin,1400,https://github.com/ocaml/merlin
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
NaiboWang,CommandlineConfig,1400,https://github.com/NaiboWang/CommandlineConfig
MagicStack,MagicPython,1400,https://github.com/MagicStack/MagicPython
atom,apm,1300,https://github.com/atom/apm
file-icons,atom,1200,https://github.com/file-icons/atom
feeddd,feeds,1100,https://github.com/feeddd/feeds
kettanaito,atomic-layout,1100,https://github.com/kettanaito/atomic-layout
