username,repo_name,stars,repo_url
ljianshu,Blog,7400,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7200,https://github.com/metafizzy/infinite-scroll
developit,unfetch,5400,https://github.com/developit/unfetch
jquery-form,form,5200,https://github.com/jquery-form/form
olifolkerd,tabulator,5100,https://github.com/olifolkerd/tabulator
Studio-42,elFinder,4400,https://github.com/Studio-42/elFinder
ded,reqwest,2900,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2900,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,2500,https://github.com/elbywan/wretch
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
wendux,ajax-hook,2200,https://github.com/wendux/ajax-hook
noelboss,featherlight,2100,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1800,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1700,https://github.com/ptaoussanis/sente
nette,tracy,1600,https://github.com/nette/tracy
joaomilho,Enterprise,1500,https://github.com/joaomilho/Enterprise
loadingio,css-spinner,1500,https://github.com/loadingio/css-spinner
u014427391,jeeplatform,1400,https://github.com/u014427391/jeeplatform
k8w,tsrpc,1400,https://github.com/k8w/tsrpc
MoOx,pjax,1300,https://github.com/MoOx/pjax
