username,repo_name,stars,repo_url
google-research,bert,33100,https://github.com/google-research/bert
y1yang0,hosts,16600,https://github.com/y1yang0/hosts
mxrch,GHunt,13300,https://github.com/mxrch/GHunt
google,yapf,13100,https://github.com/google/yapf
firebase,functions-samples,11500,https://github.com/firebase/functions-samples
googleapis,google-api-nodejs-client,10400,https://github.com/googleapis/google-api-nodejs-client
google,dopamine,10000,https://github.com/google/dopamine
infracost,infracost,8600,https://github.com/infracost/infracost
firebase,flutterfire,7500,https://github.com/firebase/flutterfire
selierlin,Share-SSR-V2ray,7300,https://github.com/selierlin/Share-SSR-V2ray
tensorlayer,TensorLayer,7100,https://github.com/tensorlayer/TensorLayer
tycrek,degoogle,6600,https://github.com/tycrek/degoogle
google-map-react,google-map-react,6000,https://github.com/google-map-react/google-map-react
jarun,googler,5900,https://github.com/jarun/googler
Tapadoo,Alerter,5400,https://github.com/Tapadoo/Alerter
microg,GmsCore,5400,https://github.com/microg/GmsCore
google,closure-library,4600,https://github.com/google/closure-library
lennylxx,ipv6-hosts,4400,https://github.com/lennylxx/ipv6-hosts
google,gts,4300,https://github.com/google/gts
zdhxiong,mdui,3500,https://github.com/zdhxiong/mdui
