username,repo_name,stars,repo_url
localstack,localstack,45000,https://github.com/localstack/localstack
harness,drone,26100,https://github.com/harness/drone
jenkinsci,jenkins,19900,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12500,https://github.com/auchenberg/volkswagen
theonedev,onedev,10400,https://github.com/theonedev/onedev
openshift,origin,8200,https://github.com/openshift/origin
dagger,dagger,7200,https://github.com/dagger/dagger
concourse,concourse,6700,https://github.com/concourse/concourse
gocd,gocd,6600,https://github.com/gocd/gocd
buildbot,buildbot,4900,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,4900,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4300,https://github.com/jenkins-x/jx
ovh,cds,4000,https://github.com/ovh/cds
xcpretty,xcpretty,3800,https://github.com/xcpretty/xcpretty
hygieia,hygieia,3700,https://github.com/hygieia/hygieia
iterative,cml,3600,https://github.com/iterative/cml
milanm,DevOps-Roadmap,3500,https://github.com/milanm/DevOps-Roadmap
cake-build,cake,3500,https://github.com/cake-build/cake
werf,werf,3400,https://github.com/werf/werf
