username,repo_name,stars,repo_url
flutter,flutter,150000,https://github.com/flutter/flutter
mui,material-ui,84500,https://github.com/mui/material-ui
ionic-team,ionic-framework,48600,https://github.com/ionic-team/ionic-framework
google,material-design-icons,47600,https://github.com/google/material-design-icons
Solido,awesome-flutter,45300,https://github.com/Solido/awesome-flutter
Dogfalo,materialize,38800,https://github.com/Dogfalo/materialize
vuetifyjs,vuetify,36500,https://github.com/vuetifyjs/vuetify
google,material-design-lite,32100,https://github.com/google/material-design-lite
angular,components,23300,https://github.com/angular/components
mdbootstrap,mdb-ui-kit,23000,https://github.com/mdbootstrap/mdb-ui-kit
quasarframework,quasar,22800,https://github.com/quasarframework/quasar
HeroTransitions,Hero,21200,https://github.com/HeroTransitions/Hero
afollestad,material-dialogs,19500,https://github.com/afollestad/material-dialogs
iampawan,FlutterExampleApps,18100,https://github.com/iampawan/FlutterExampleApps
framework7io,framework7,17100,https://github.com/framework7io/framework7
angular,material,16700,https://github.com/angular/material
material-components,material-components-web,16600,https://github.com/material-components/material-components-web
material-components,material-components-android,14500,https://github.com/material-components/material-components-android
froala,design-blocks,13500,https://github.com/froala/design-blocks
MaterialDesignInXAML,MaterialDesignInXamlToolkit,13200,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
