username,repo_name,stars,repo_url
public-apis,public-apis,219000,https://github.com/public-apis/public-apis
neovim,neovim,60100,https://github.com/neovim/neovim
tiangolo,fastapi,52200,https://github.com/tiangolo/fastapi
strapi,strapi,50300,https://github.com/strapi/strapi
hoppscotch,hoppscotch,48600,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,43600,https://github.com/ocornut/imgui
slatedocs,slate,34700,https://github.com/slatedocs/slate
meilisearch,meilisearch,31200,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,28800,https://github.com/hasura/graphql-engine
ccxt,ccxt,26500,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,26300,https://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,25400,https://github.com/YMFE/yapi
Kong,insomnia,25100,https://github.com/Kong/insomnia
httpie,httpie,25100,https://github.com/httpie/httpie
encode,django-rest-framework,24600,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,22600,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20500,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,20400,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,19300,https://github.com/shieldfy/API-Security-Checklist
