username,repo_name,stars,repo_url
amphp,amp,3800,https://github.com/amphp/amp
danog,MadelineProto,2200,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,747,https://github.com/unreal4u/telegram-api
amphp,http-client,646,https://github.com/amphp/http-client
amphp,parallel,636,https://github.com/amphp/parallel
php-service-bus,service-bus,335,https://github.com/php-service-bus/service-bus
amphp,byte-stream,325,https://github.com/amphp/byte-stream
amphp,mysql,303,https://github.com/amphp/mysql
amphp,parallel-functions,238,https://github.com/amphp/parallel-functions
amphp,process,212,https://github.com/amphp/process
amphp,socket,188,https://github.com/amphp/socket
amphp,redis,135,https://github.com/amphp/redis
amphp,dns,135,https://github.com/amphp/dns
amphp,sync,135,https://github.com/amphp/sync
kelunik,acme,117,https://github.com/kelunik/acme
amphp,websocket-client,113,https://github.com/amphp/websocket-client
amphp,serialization,97,https://github.com/amphp/serialization
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,90,https://github.com/amphp/websocket-server
