username,repo_name,stars,repo_url
Genymobile,scrcpy,73700,https://github.com/Genymobile/scrcpy
neovim,neovim,60100,https://github.com/neovim/neovim
git,git,44400,https://github.com/git/git
obsproject,obs-studio,43400,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,42100,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,33200,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,33000,https://github.com/FFmpeg/FFmpeg
vim,vim,29000,https://github.com/vim/vim
curl,curl,27600,https://github.com/curl/curl
huihut,interview,26800,https://github.com/huihut/interview
ggreer,the_silver_searcher,24400,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,21000,https://github.com/pbatard/rufus
mpv-player,mpv,20800,https://github.com/mpv-player/mpv
ossrs,srs,20100,https://github.com/ossrs/srs
ruby,ruby,19700,https://github.com/ruby/ruby
google,flatbuffers,19500,https://github.com/google/flatbuffers
oracle,graal,17900,https://github.com/oracle/graal
microsoft,vcpkg,17300,https://github.com/microsoft/vcpkg
radareorg,radare2,17200,https://github.com/radareorg/radare2
kovidgoyal,kitty,16800,https://github.com/kovidgoyal/kitty
