username,repo_name,stars,repo_url
AtsushiSakai,PythonRobotics,16900,https://github.com/AtsushiSakai/PythonRobotics
formatjs,formatjs,13500,https://github.com/formatjs/formatjs
frappe,erpnext,12300,https://github.com/frappe/erpnext
SwiftGen,SwiftGen,8300,https://github.com/SwiftGen/SwiftGen
Humanizr,Humanizer,7200,https://github.com/Humanizr/Humanizer
cartographer-project,cartographer,6300,https://github.com/cartographer-project/cartographer
lingui,js-lingui,3500,https://github.com/lingui/js-lingui
WeblateOrg,weblate,3300,https://github.com/WeblateOrg/weblate
jeremykenedy,laravel-auth,2800,https://github.com/jeremykenedy/laravel-auth
hybridsjs,hybrids,2700,https://github.com/hybridsjs/hybrids
github,relative-time-element,2600,https://github.com/github/relative-time-element
introlab,rtabmap,2000,https://github.com/introlab/rtabmap
aralroca,next-translate,1900,https://github.com/aralroca/next-translate
ever-co,ever-traduora,1700,https://github.com/ever-co/ever-traduora
vovgou,loxodon-framework,1400,https://github.com/vovgou/loxodon-framework
igorkulman,iOSLocalizationEditor,1300,https://github.com/igorkulman/iOSLocalizationEditor
FlineDev,BartyCrouch,1300,https://github.com/FlineDev/BartyCrouch
overtrue,laravel-lang,1300,https://github.com/overtrue/laravel-lang
ivanhofer,typesafe-i18n,1200,https://github.com/ivanhofer/typesafe-i18n
willpowell8,LocalizationKit_iOS,1200,https://github.com/willpowell8/LocalizationKit_iOS
