username,repo_name,stars,repo_url
localstack,localstack,45800,https://github.com/localstack/localstack
serverless,serverless,44200,https://github.com/serverless/serverless
bregman-arie,devops-exercises,39700,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,24600,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,15100,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13600,https://github.com/ramitsurana/awesome-kubernetes
kubernetes-sigs,kubespray,13500,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,13400,https://github.com/aws/aws-cli
mozilla,sops,12000,https://github.com/mozilla/sops
serverless-stack,sst,11500,https://github.com/serverless-stack/sst
donnemartin,awesome-aws,11200,https://github.com/donnemartin/awesome-aws
apereo,cas,10000,https://github.com/apereo/cas
caprover,caprover,9900,https://github.com/caprover/caprover
aws,aws-cdk,9800,https://github.com/aws/aws-cdk
GoogleCloudPlatform,terraformer,9600,https://github.com/GoogleCloudPlatform/terraformer
aws,chalice,9500,https://github.com/aws/chalice
aws-amplify,amplify-js,9100,https://github.com/aws-amplify/amplify-js
aws,serverless-application-model,8900,https://github.com/aws/serverless-application-model
google,go-cloud,8900,https://github.com/google/go-cloud
apex,up,8700,https://github.com/apex/up
